ProductID,ProductName,Category,SubCategory,Brand,CostPrice,SellingPrice
1,Mobile Model 21,Electronics,Mobile,Brand A,1450,2890
2,Mobile Model 22,Electronics,Mobile,Brand B,2100,3999
3,Mobile Model 23,Electronics,Mobile,Brand C,980,1890
4,Mobile Model 24,Electronics,Mobile,Brand D,3200,4990
5,Mobile Model 25,Electronics,Mobile,Brand A,2750,4599
6,Mobile Model 26,Electronics,Mobile,Brand B,1900,3500
7,Mobile Model 27,Electronics,Mobile,Brand C,4200,6999
8,Mobile Model 28,Electronics,Mobile,Brand D,1500,2999
9,Mobile Model 29,Electronics,Mobile,Brand A,3600,6200
10,Mobile Model 30,Electronics,Mobile,Brand B,4100,7300
11,Laptop Model 5,Electronics,Laptop,Brand C,15000,21000
12,Laptop Model 6,Electronics,Laptop,Brand D,18000,24500
13,Laptop Model 7,Electronics,Laptop,Brand A,22000,29999
14,Laptop Model 8,Electronics,Laptop,Brand B,19500,26000
15,Laptop Model 9,Electronics,Laptop,Brand C,25000,33000
16,Laptop Model 10,Electronics,Laptop,Brand D,27000,35500
17,Laptop Model 11,Electronics,Laptop,Brand A,23000,31500
18,Laptop Model 12,Electronics,Laptop,Brand B,21000,29800
19,Laptop Model 13,Electronics,Laptop,Brand C,26000,34900
20,Laptop Model 14,Electronics,Laptop,Brand D,24000,32000
21,TV Model 1,Electronics,TV,Brand A,12000,17000
22,TV Model 2,Electronics,TV,Brand B,15000,21000
23,TV Model 3,Electronics,TV,Brand C,18000,25000
24,TV Model 4,Electronics,TV,Brand D,22000,29900
25,TV Model 5,Electronics,TV,Brand A,20000,27000
26,TV Model 6,Electronics,TV,Brand B,24000,32000
27,TV Model 7,Electronics,TV,Brand C,26000,34500
28,TV Model 8,Electronics,TV,Brand D,28000,37000
29,TV Model 9,Electronics,TV,Brand A,30000,41000
30,TV Model 10,Electronics,TV,Brand B,32000,44000
31,Headphone Model 1,Electronics,Accessories,Brand C,500,1200
32,Headphone Model 2,Electronics,Accessories,Brand D,650,1500
33,Headphone Model 3,Electronics,Accessories,Brand A,700,1600
34,Headphone Model 4,Electronics,Accessories,Brand B,850,1800
35,Headphone Model 5,Electronics,Accessories,Brand C,900,2000
36,Headphone Model 6,Electronics,Accessories,Brand D,1100,2400
37,Headphone Model 7,Electronics,Accessories,Brand A,1200,2600
38,Headphone Model 8,Electronics,Accessories,Brand B,1400,2900
39,Headphone Model 9,Electronics,Accessories,Brand C,1600,3200
40,Headphone Model 10,Electronics,Accessories,Brand D,1800,3500
41,Tablet Model 1,Electronics,Tablet,Brand A,8000,11500
42,Tablet Model 2,Electronics,Tablet,Brand B,9000,12500
43,Tablet Model 3,Electronics,Tablet,Brand C,10000,14000
44,Tablet Model 4,Electronics,Tablet,Brand D,11000,15500
45,Tablet Model 5,Electronics,Tablet,Brand A,12000,16800
46,Tablet Model 6,Electronics,Tablet,Brand B,13000,17900
47,Tablet Model 7,Electronics,Tablet,Brand C,14000,19500
48,Tablet Model 8,Electronics,Tablet,Brand D,15000,21000
49,Tablet Model 9,Electronics,Tablet,Brand A,16000,22500
50,Tablet Model 10,Electronics,Tablet,Brand B,17000,24000
